id,eventdate,clicks,cpc,spend
323,11/10/19,119,1.17,138.66
324,11/11/19,134,1.16,154.86
325,11/12/19,142,1.26,178.55
326,11/13/19,132,1.22,161.66
327,11/14/19,132,1.26,166.66
328,11/15/19,127,1.32,167.3
329,11/16/19,134,1.22,163.29
330,10/20/19,84,0.53,44.91
331,10/21/19,84,0.62,52.01
332,10/22/19,78,0.54,42.31
333,10/23/19,77,0.68,52.71
334,10/24/19,62,0.7,43.51
335,10/25/19,52,0.57,29.73
336,10/26/19,54,0.56,30.1
337,10/13/19,81,0.53,42.59
338,10/14/19,80,0.57,45.83
339,10/15/19,78,0.72,56.19
340,10/16/19,89,0.5,44.51
341,10/17/19,84,0.54,45.31
342,10/18/19,66,0.7,46.1
343,10/19/19,81,0.48,38.51
344,10/13/19,155,1.56,242.42
345,10/14/19,163,1.62,263.41
346,10/15/19,114,1.53,174.83
347,10/16/19,75,1.14,85.3
348,10/17/19,52,1.28,66.77
349,10/18/19,6,0.84,5.05
350,10/19/19,27,1.1,29.66
351,10/20/19,30,1.15,34.64
352,10/21/19,34,0.99,33.7
353,10/22/19,28,1.23,34.39
354,10/23/19,52,1.08,56.13
355,10/24/19,23,1.25,28.76
356,10/25/19,66,1.08,71.34
357,10/26/19,63,1.14,71.53
358,10/27/19,86,1.26,108.42
359,10/28/19,68,1.2,81.93
360,10/29/19,69,1.17,81
361,10/30/19,109,1.26,137.06
362,10/31/19,84,1.3,109.3
363,11/1/19,132,1.25,164.65
364,11/2/19,165,1.24,204.87
365,11/3/19,237,1.26,299.4
366,11/4/19,112,1.32,148.22
367,11/5/19,115,1.4,161.12
368,11/6/19,89,1.37,121.7
369,11/7/19,116,1.33,153.77
370,11/8/19,97,1.24,119.86
371,11/9/19,106,1.4,148.24
372,11/10/19,119,1.17,138.66
373,11/11/19,134,1.16,154.86
374,11/12/19,142,1.26,178.55
375,11/13/19,132,1.22,161.66
376,11/14/19,132,1.26,166.66
377,11/15/19,127,1.32,167.3
378,11/16/19,134,1.22,163.29
379,10/20/19,84,0.53,44.91
380,10/21/19,84,0.62,52.01
381,10/22/19,78,0.54,42.31
382,10/23/19,77,0.68,52.71
383,10/24/19,62,0.7,43.51
384,10/25/19,52,0.57,29.73
385,10/26/19,54,0.56,30.1
386,10/13/19,81,0.53,42.59
387,10/14/19,80,0.57,45.83
388,10/15/19,78,0.72,56.19
389,10/16/19,89,0.5,44.51
390,10/17/19,84,0.54,45.31
391,10/18/19,66,0.7,46.1
392,10/19/19,81,0.48,38.51
393,10/13/19,155,1.56,242.42
394,10/14/19,163,1.62,263.41
395,10/15/19,114,1.53,174.83
396,10/16/19,75,1.14,85.3
397,10/17/19,52,1.28,66.77
398,10/18/19,6,0.84,5.05
399,10/19/19,27,1.1,29.66
400,10/20/19,30,1.15,34.64
401,10/21/19,34,0.99,33.7
402,10/22/19,28,1.23,34.39
403,10/23/19,52,1.08,56.13
404,10/24/19,23,1.25,28.76
405,10/25/19,66,1.08,71.34
406,10/26/19,63,1.14,71.53
407,10/27/19,86,1.26,108.42
408,10/28/19,68,1.2,81.93
409,10/29/19,69,1.17,81
410,10/30/19,109,1.26,137.06
411,10/31/19,84,1.3,109.3
412,11/1/19,132,1.25,164.65
413,11/2/19,165,1.24,204.87
414,11/3/19,237,1.26,299.4
415,11/4/19,112,1.32,148.22
416,11/5/19,115,1.4,161.12
417,11/6/19,89,1.37,121.7
418,11/7/19,116,1.33,153.77
419,11/8/19,97,1.24,119.86
420,11/9/19,106,1.4,148.24
421,11/10/19,119,1.17,138.66
422,11/11/19,134,1.16,154.86
423,11/12/19,142,1.26,178.55
424,11/13/19,132,1.22,161.66
425,11/14/19,132,1.26,166.66
426,11/15/19,127,1.32,167.3
427,11/16/19,134,1.22,163.29
428,10/20/19,84,0.53,44.91
429,10/21/19,84,0.62,52.01
430,10/22/19,78,0.54,42.31
431,10/23/19,77,0.68,52.71
432,10/24/19,62,0.7,43.51
433,10/25/19,52,0.57,29.73
434,10/26/19,54,0.56,30.1
435,10/13/19,81,0.53,42.59
436,10/14/19,80,0.57,45.83
437,10/15/19,78,0.72,56.19
438,10/16/19,89,0.5,44.51
439,10/17/19,84,0.54,45.31
440,10/18/19,66,0.7,46.1
441,10/19/19,81,0.48,38.51
442,10/13/19,155,1.56,242.42
443,10/14/19,163,1.62,263.41
444,10/15/19,114,1.53,174.83
445,10/16/19,75,1.14,85.3
446,10/17/19,52,1.28,66.77
447,10/18/19,6,0.84,5.05
448,10/19/19,27,1.1,29.66
449,10/20/19,30,1.15,34.64
450,10/21/19,34,0.99,33.7
451,10/22/19,28,1.23,34.39
452,10/23/19,52,1.08,56.13
453,10/24/19,23,1.25,28.76
454,10/25/19,66,1.08,71.34
455,10/26/19,63,1.14,71.53
456,10/27/19,86,1.26,108.42
457,10/28/19,68,1.2,81.93
458,10/29/19,69,1.17,81
459,10/30/19,109,1.26,137.06
460,10/31/19,84,1.3,109.3
461,11/1/19,132,1.25,164.65
462,11/2/19,165,1.24,204.87
463,11/3/19,237,1.26,299.4
464,11/4/19,112,1.32,148.22
465,11/5/19,115,1.4,161.12
466,11/6/19,89,1.37,121.7
467,11/7/19,116,1.33,153.77
468,11/8/19,97,1.24,119.86
469,11/9/19,106,1.4,148.24
470,11/10/19,119,1.17,138.66
471,11/11/19,134,1.16,154.86
472,11/12/19,142,1.26,178.55
473,11/13/19,132,1.22,161.66
474,11/14/19,132,1.26,166.66
475,11/15/19,127,1.32,167.3
476,11/16/19,134,1.22,163.29
477,10/20/19,84,0.53,44.91
478,10/21/19,84,0.62,52.01
479,10/22/19,78,0.54,42.31
480,10/23/19,77,0.68,52.71
481,10/24/19,62,0.7,43.51
482,10/25/19,52,0.57,29.73
483,10/26/19,54,0.56,30.1
484,10/13/19,81,0.53,42.59
485,10/14/19,80,0.57,45.83
486,10/15/19,78,0.72,56.19
487,10/16/19,89,0.5,44.51
488,10/17/19,84,0.54,45.31
489,10/18/19,66,0.7,46.1
490,10/19/19,81,0.48,38.51
491,10/13/19,155,1.56,242.42
492,10/14/19,163,1.62,263.41
493,10/15/19,114,1.53,174.83
494,10/16/19,75,1.14,85.3
495,10/17/19,52,1.28,66.77
496,10/18/19,6,0.84,5.05
497,10/19/19,27,1.1,29.66
498,10/20/19,30,1.15,34.64
499,10/21/19,34,0.99,33.7
500,10/22/19,28,1.23,34.39
501,10/23/19,52,1.08,56.13
502,10/24/19,23,1.25,28.76
503,10/25/19,66,1.08,71.34
504,10/26/19,63,1.14,71.53
505,10/27/19,86,1.26,108.42
506,10/28/19,68,1.2,81.93
507,10/29/19,69,1.17,81
508,10/30/19,109,1.26,137.06
509,10/31/19,84,1.3,109.3
510,11/1/19,132,1.25,164.65
511,11/2/19,165,1.24,204.87
512,11/3/19,237,1.26,299.4
513,11/4/19,112,1.32,148.22
514,11/5/19,115,1.4,161.12
515,11/6/19,89,1.37,121.7
516,11/7/19,116,1.33,153.77
517,11/8/19,97,1.24,119.86
518,11/9/19,106,1.4,148.24
519,11/10/19,119,1.17,138.66
520,11/11/19,134,1.16,154.86
521,11/12/19,142,1.26,178.55
522,11/13/19,132,1.22,161.66
523,11/14/19,132,1.26,166.66
524,11/15/19,127,1.32,167.3
525,11/16/19,134,1.22,163.29
526,10/20/19,84,0.53,44.91
527,10/21/19,84,0.62,52.01
528,10/22/19,78,0.54,42.31
529,10/23/19,77,0.68,52.71
530,10/24/19,62,0.7,43.51
531,10/25/19,52,0.57,29.73
532,10/26/19,54,0.56,30.1
533,10/13/19,81,0.53,42.59
534,10/14/19,80,0.57,45.83
535,10/15/19,78,0.72,56.19
536,10/16/19,89,0.5,44.51
537,10/17/19,84,0.54,45.31
538,10/18/19,66,0.7,46.1
539,10/19/19,81,0.48,38.51
540,10/13/19,155,1.56,242.42
541,10/14/19,163,1.62,263.41
542,10/15/19,114,1.53,174.83
543,10/16/19,75,1.14,85.3
544,10/17/19,52,1.28,66.77
545,10/18/19,6,0.84,5.05
546,10/19/19,27,1.1,29.66
547,10/20/19,30,1.15,34.64
548,10/21/19,34,0.99,33.7
549,10/22/19,28,1.23,34.39
550,10/23/19,52,1.08,56.13
551,10/24/19,23,1.25,28.76
552,10/25/19,66,1.08,71.34
553,10/26/19,63,1.14,71.53
554,10/27/19,86,1.26,108.42
555,10/28/19,68,1.2,81.93
556,10/29/19,69,1.17,81
557,10/30/19,109,1.26,137.06
558,10/31/19,84,1.3,109.3
559,11/1/19,132,1.25,164.65
560,11/2/19,165,1.24,204.87
561,11/3/19,237,1.26,299.4
562,11/4/19,112,1.32,148.22
563,11/5/19,115,1.4,161.12
564,11/6/19,89,1.37,121.7
565,11/7/19,116,1.33,153.77
566,11/8/19,97,1.24,119.86
567,11/9/19,106,1.4,148.24
568,11/10/19,119,1.17,138.66
569,11/11/19,134,1.16,154.86
570,11/12/19,142,1.26,178.55
571,11/13/19,132,1.22,161.66
572,11/14/19,132,1.26,166.66
573,11/15/19,127,1.32,167.3
574,11/16/19,134,1.22,163.29
575,10/20/19,84,0.53,44.91
576,10/21/19,84,0.62,52.01
577,10/22/19,78,0.54,42.31
578,10/23/19,77,0.68,52.71
579,10/24/19,62,0.7,43.51
580,10/25/19,52,0.57,29.73
581,10/26/19,54,0.56,30.1
582,10/13/19,81,0.53,42.59
583,10/14/19,80,0.57,45.83
584,10/15/19,78,0.72,56.19
585,10/16/19,89,0.5,44.51
586,10/17/19,84,0.54,45.31
587,10/18/19,66,0.7,46.1
588,10/19/19,81,0.48,38.51
589,10/13/19,155,1.56,242.42
590,10/14/19,163,1.62,263.41
591,10/15/19,114,1.53,174.83
592,10/16/19,75,1.14,85.3
593,10/17/19,52,1.28,66.77
594,10/18/19,6,0.84,5.05
595,10/19/19,27,1.1,29.66
596,10/20/19,30,1.15,34.64
597,10/21/19,34,0.99,33.7
598,10/22/19,28,1.23,34.39
599,10/23/19,52,1.08,56.13
600,10/24/19,23,1.25,28.76
601,10/25/19,66,1.08,71.34
602,10/26/19,63,1.14,71.53
603,10/27/19,86,1.26,108.42
604,10/28/19,68,1.2,81.93
605,10/29/19,69,1.17,81
606,10/30/19,109,1.26,137.06
607,10/31/19,84,1.3,109.3
608,11/1/19,132,1.25,164.65
609,11/2/19,165,1.24,204.87
610,11/3/19,237,1.26,299.4
611,11/4/19,112,1.32,148.22
612,11/5/19,115,1.4,161.12
613,11/6/19,89,1.37,121.7
614,11/7/19,116,1.33,153.77
615,11/8/19,97,1.24,119.86
616,11/9/19,106,1.4,148.24
617,11/10/19,119,1.17,138.66
618,11/11/19,134,1.16,154.86
619,11/12/19,142,1.26,178.55
620,11/13/19,132,1.22,161.66
621,11/14/19,132,1.26,166.66
622,11/15/19,127,1.32,167.3
623,11/16/19,134,1.22,163.29
624,10/20/19,84,0.53,44.91
625,10/21/19,84,0.62,52.01
626,10/22/19,78,0.54,42.31
627,10/23/19,77,0.68,52.71
628,10/24/19,62,0.7,43.51
629,10/25/19,52,0.57,29.73
630,10/26/19,54,0.56,30.1
631,10/13/19,81,0.53,42.59
632,10/14/19,80,0.57,45.83
633,10/15/19,78,0.72,56.19
634,10/16/19,89,0.5,44.51
635,10/17/19,84,0.54,45.31
636,10/18/19,66,0.7,46.1
637,10/19/19,81,0.48,38.51
638,10/13/19,155,1.56,242.42
639,10/14/19,163,1.62,263.41
640,10/15/19,114,1.53,174.83
641,10/16/19,75,1.14,85.3
642,10/17/19,52,1.28,66.77
643,10/18/19,6,0.84,5.05
644,10/19/19,27,1.1,29.66
645,10/20/19,30,1.15,34.64
646,10/21/19,34,0.99,33.7
647,10/22/19,28,1.23,34.39
648,10/23/19,52,1.08,56.13
649,10/24/19,23,1.25,28.76
650,10/25/19,66,1.08,71.34
651,10/26/19,63,1.14,71.53
652,10/27/19,86,1.26,108.42
653,10/28/19,68,1.2,81.93
654,10/29/19,69,1.17,81
655,10/30/19,109,1.26,137.06
656,10/31/19,84,1.3,109.3
657,11/1/19,132,1.25,164.65
658,11/2/19,165,1.24,204.87
659,11/3/19,237,1.26,299.4
660,11/4/19,112,1.32,148.22
661,11/5/19,115,1.4,161.12
662,11/6/19,89,1.37,121.7
663,11/7/19,116,1.33,153.77
664,11/8/19,97,1.24,119.86
665,11/9/19,106,1.4,148.24
666,11/10/19,119,1.17,138.66
667,11/11/19,134,1.16,154.86
668,11/12/19,142,1.26,178.55
669,11/13/19,132,1.22,161.66
670,11/14/19,132,1.26,166.66
671,11/15/19,127,1.32,167.3
672,11/16/19,134,1.22,163.29
673,10/20/19,84,0.53,44.91
674,10/21/19,84,0.62,52.01
675,10/22/19,78,0.54,42.31
676,10/23/19,77,0.68,52.71
677,10/24/19,62,0.7,43.51
678,10/25/19,52,0.57,29.73
679,10/26/19,54,0.56,30.1
680,10/13/19,81,0.53,42.59
681,10/14/19,80,0.57,45.83
682,10/15/19,78,0.72,56.19
683,10/16/19,89,0.5,44.51
684,10/17/19,84,0.54,45.31
685,10/18/19,66,0.7,46.1
686,10/19/19,81,0.48,38.51
687,10/13/19,155,1.56,242.42
688,10/14/19,163,1.62,263.41
689,10/15/19,114,1.53,174.83
690,10/16/19,75,1.14,85.3
691,10/17/19,52,1.28,66.77
692,10/18/19,6,0.84,5.05
693,10/19/19,27,1.1,29.66
694,10/20/19,30,1.15,34.64
695,10/21/19,34,0.99,33.7
696,10/22/19,28,1.23,34.39
697,10/23/19,52,1.08,56.13
698,10/24/19,23,1.25,28.76
699,10/25/19,66,1.08,71.34
700,10/26/19,63,1.14,71.53
701,10/27/19,86,1.26,108.42
702,10/28/19,68,1.2,81.93
703,10/29/19,69,1.17,81
704,10/30/19,109,1.26,137.06
705,10/31/19,84,1.3,109.3
706,11/1/19,132,1.25,164.65
707,11/2/19,165,1.24,204.87
708,11/3/19,237,1.26,299.4
709,11/4/19,112,1.32,148.22
710,11/5/19,115,1.4,161.12
711,11/6/19,89,1.37,121.7
712,11/7/19,116,1.33,153.77
713,11/8/19,97,1.24,119.86
714,11/9/19,106,1.4,148.24
715,11/10/19,119,1.17,138.66
716,11/11/19,134,1.16,154.86
717,11/12/19,142,1.26,178.55
718,11/13/19,132,1.22,161.66
719,11/14/19,132,1.26,166.66
720,11/15/19,127,1.32,167.3
721,11/16/19,134,1.22,163.29
722,10/20/19,84,0.53,44.91
723,10/21/19,84,0.62,52.01
724,10/22/19,78,0.54,42.31
725,10/23/19,77,0.68,52.71
726,10/24/19,62,0.7,43.51
727,10/25/19,52,0.57,29.73
728,10/26/19,54,0.56,30.1
729,10/13/19,81,0.53,42.59
730,10/14/19,80,0.57,45.83
731,10/15/19,78,0.72,56.19
732,10/16/19,89,0.5,44.51
733,10/17/19,84,0.54,45.31
734,10/18/19,66,0.7,46.1
735,10/19/19,81,0.48,38.51
736,10/13/19,155,1.56,242.42
737,10/14/19,163,1.62,263.41
738,10/15/19,114,1.53,174.83
739,10/16/19,75,1.14,85.3
740,10/17/19,52,1.28,66.77
741,10/18/19,6,0.84,5.05
742,10/19/19,27,1.1,29.66
743,10/20/19,30,1.15,34.64
744,10/21/19,34,0.99,33.7
745,10/22/19,28,1.23,34.39
746,10/23/19,52,1.08,56.13
747,10/24/19,23,1.25,28.76
748,10/25/19,66,1.08,71.34
749,10/26/19,63,1.14,71.53
750,10/27/19,86,1.26,108.42
751,10/28/19,68,1.2,81.93
752,10/29/19,69,1.17,81
753,10/30/19,109,1.26,137.06
754,10/31/19,84,1.3,109.3
755,11/1/19,132,1.25,164.65
756,11/2/19,165,1.24,204.87
757,11/3/19,237,1.26,299.4
758,11/4/19,112,1.32,148.22
759,11/5/19,115,1.4,161.12
760,11/6/19,89,1.37,121.7
761,11/7/19,116,1.33,153.77
762,11/8/19,97,1.24,119.86
763,11/9/19,106,1.4,148.24
764,11/10/19,119,1.17,138.66
765,11/11/19,134,1.16,154.86
766,11/12/19,142,1.26,178.55
767,11/13/19,132,1.22,161.66
768,11/14/19,132,1.26,166.66
769,11/15/19,127,1.32,167.3
770,11/16/19,134,1.22,163.29
771,10/20/19,84,0.53,44.91
772,10/21/19,84,0.62,52.01
773,10/22/19,78,0.54,42.31
774,10/23/19,77,0.68,52.71
775,10/24/19,62,0.7,43.51
776,10/25/19,52,0.57,29.73
777,10/26/19,54,0.56,30.1
